#,Action,Assigned,Target completion,Status,Objective
1,"Inspect the court file and record the status of the 04/03/2026 order sheet, D2's separate written statement, the 13/03/2026 rejoinder, and the 18/05/2026 production (lease, bank statement, minutes book, all 5 resolutions, nomination document).",,26/05/2026,Not started,Enabling
2,Obtain from Mavelikkara the documents needed to refute D2's reply to IA 9/2025.,Thaha,26/05/2026,Not started,5
3,Press IA 5/2026 to restrain commercialization of the Trust property.,Thaha,28/05/2026,Instruction to Lawyer Provided,6
4,Press IA 6/2026 for production of the Trust accounts.,Thaha,28/05/2026,Instruction to Lawyer Provided,Gate (3/4/6)
5,Argue IA 2 and IA 9 using the Contradictions Matrix.,Thaha,28/05/2026,Instruction to Lawyer Provided,5
6,Draft and file the written objection to the 18/05/2026 IA on three grounds: (a) contradiction with the 16/02/2026 affidavit; (b) lease defect under ss.28/49; (c) ultra vires 'nomination as beneficiary' barred by S.92 IEA / S.95 BSA.,Thaha,28/05/2026,Instruction to Lawyer Provided,6 (defends)
7,Move for an adverse inference against D2 for concealing the business venture on the premises and for producing documents after swearing none existed.,Thaha,28/05/2026,Instruction to Lawyer Provided,5/6
8,"File the Order VI Rule 17 application to amend the plaint to add the Sreemoolavasam facts, the lease, the bank account, the O.S. 243/2024 fabrications and the 16/02/2026 false statements, and to add the reliefs of void lease, interim injunction, eviction and disgorgement.",,27/06/2026,Not started,6
9,File the application to restore the suit against D3 with fresh substituted service to D3's known USA address.,,27/06/2026,Not started,Enabling (1/4)
10,File the Order VIII Rule 10 application against D2 if D2 has filed no separate written statement.,,27/06/2026,Not started,3
11,"File the OP(C) 3278/2025 application to recall the 04/03/2026 IA 5 closure and direct production, pleading violation of the directed timeline by a false affidavit and suppression by Defendants 2 and 3.",Alapatt,27/06/2026,Instruction to Lawyer Provided,6/5
12,Press OP(C) 3278/2025 for early disposal of IA 5/2026 and IA 6/2026.,Alapatt,27/06/2026,Instruction to Lawyer Provided,Gate (6)
13,File the application to appoint a receiver over the Trust property and to preserve Federal Bank a/c 13100200004482.,,27/06/2026,Not started,3/6
14,Compile one master chronology across the connected civil and criminal proceedings as the basis for the Contradictions Matrix.,,27/06/2026,Not started,5 (foundation)
15,File the IG Registration complaint regarding the Marad registration.,,27/06/2026,Not started,6
16,File the Section 91 BNSS summons to Federal Bank to obtain the KYC file for a/c 13100200004482.,,27/07/2026,Not started,Gate (6)
17,"Establish the s.63 BSA evidence chain for the video: trace the original file, identify the person who recorded it, obtain the certificate and hash value, and engage an expert to verify it.",,27/07/2026,Not started,6/5
18,"Inspect the 18/05/2026 production and the produced accounts and minutes, and document any misappropriation.",,26/08/2026,Not started,Gate (3/4)
19,File and press the application to remove and replace D2 as Managing Trustee.,,26/08/2026,Not started,3
20,"Draft and file the Section 215 BNSS application against D2's false sworn statements, grounded in the Contradictions Matrix (the s.340 CrPC / s.215 BNSS perjury reference).",Thaha,30/09/2026,Instruction to Lawyer Provided,5
21,"Prepare and file the breach-of-trust complaint against all signatories to the 12.02.2020 and 'D3 need not account' resolutions, pleading common intention.",,31/12/2026,Not started,4
22,"Prosecute the lease set-aside, eviction and disgorgement reliefs to final orders.",,31/03/2027,Not started,6
23,File the application for appointment of the client as Managing Trustee.,,30/06/2027,Not started,2
24,Resolve the foreign-domicile obstacle to the client's appointment as Managing Trustee.,,30/06/2027,Not started,2
25,Negotiate beneficiary releases and a family settlement with all beneficiaries except the client's sister.,,31/12/2027,Not started,1
26,"File the RTI 89/RTI/2026 details (09.08.2024 sequence: call 10:56, police attendance 11:15, complaint 16:20) in CMP 2828/2024.",,,Not started,5 (defends)
27,File the complaint against SI Vishal V on the Chief Minister's grievance portal.,,,Not started,Pressure
28,File the complaint against Rajesh IFS on the Chief Minister's grievance portal.,,,Not started,Pressure
